Indicator,Data Source,PUBLISH STATES,Year,iden,WHO region,Country,Beverage Types,Display Value,Numeric,High,Comments
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,AFG,Eastern Mediterranean,Afghanistan,All types,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,AFG,Eastern Mediterranean,Afghanistan,Beer,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2000,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,AFG,Eastern Mediterranean,Afghanistan,All types,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,AFG,Eastern Mediterranean,Afghanistan,Beer,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2001,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,AFG,Eastern Mediterranean,Afghanistan,Beer,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2002,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,AFG,Eastern Mediterranean,Afghanistan,Beer,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,AFG,Eastern Mediterranean,Afghanistan,Spirits,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2003,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,AFG,Eastern Mediterranean,Afghanistan,All types,0.02,0.02,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,AFG,Eastern Mediterranean,Afghanistan,Beer,0.02,0.02,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2004,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,AFG,Eastern Mediterranean,Afghanistan,All types,0.02,0.02,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,AFG,Eastern Mediterranean,Afghanistan,Spirits,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2005,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,AFG,Eastern Mediterranean,Afghanistan,All types,0.03,0.03,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,AFG,Eastern Mediterranean,Afghanistan,Spirits,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2006,AFG,Eastern Mediterranean,Afghanistan,Wine,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,AFG,Eastern Mediterranean,Afghanistan,All types,0.02,0.02,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2007,AFG,Eastern Mediterranean,Afghanistan,Wine,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,AFG,Eastern Mediterranean,Afghanistan,All types,0.03,0.03,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,AFG,Eastern Mediterranean,Afghanistan,Spirits,0.02,0.02,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2008,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2009,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2010,AFG,Eastern Mediterranean,Afghanistan,Wine,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,AFG,Eastern Mediterranean,Afghanistan,All types,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,AFG,Eastern Mediterranean,Afghanistan,Beer,0.01,0.01,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,AFG,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0,0,AFG,
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",Data source,Published,2011,AFG,Eastern Mediterranean,Afghanistan,Spirits,0,0,AFG,
