key,value,date
Africa,3.1,12/31/2000
Africa,3.3,12/31/2001
Africa,2.9,12/31/2002
Africa,3.184565217,12/31/2003
Africa,3.002391304,12/31/2004
Africa,2.953913043,12/31/2005
Africa,2.988913043,12/31/2006
Africa,2.973913043,12/31/2007
Africa,2.98326087,12/31/2008
Africa,2.964565217,12/31/2009
Africa,2.998478261,12/31/2010
Africa,3.010434783,12/31/2011
Africa,0.635882353,12/31/2012
Americas,4.600571429,12/31/2000
Americas,5.019428571,12/31/2001
Americas,4.392857143,12/31/2002
Americas,4.804857143,12/31/2003
Americas,5.227142857,12/31/2004
Americas,5.907142857,12/31/2005
Americas,6.080285714,12/31/2006
Americas,6.046,12/31/2007
Americas,5.988,12/31/2008
Americas,5.844,12/31/2009
Americas,5.674571429,12/31/2010
Americas,5.450857143,12/31/2011
Americas,4.31,12/31/2012
Eastern Mediterranean,1.616190476,12/31/2000
Eastern Mediterranean,1.921428571,12/31/2001
Eastern Mediterranean,1.960952381,12/31/2002
Eastern Mediterranean,1.330952381,12/31/2003
Eastern Mediterranean,1.26,12/31/2004
Eastern Mediterranean,1.452857143,12/31/2005
Eastern Mediterranean,1.342380952,12/31/2006
Eastern Mediterranean,2.424285714,12/31/2007
Eastern Mediterranean,1.71047619,12/31/2008
Eastern Mediterranean,2.002380952,12/31/2009
Eastern Mediterranean,2.527142857,12/31/2010
Eastern Mediterranean,2.602857143,12/31/2011
Eastern Mediterranean,2.559285714,12/31/2012
Europe,4.87,12/31/2000
Europe,4.798235294,12/31/2001
Europe,4.946923077,12/31/2002
Europe,5.132692308,12/31/2003
Europe,5.420576923,12/31/2004
Europe,5.232830189,12/31/2005
Europe,5.52754717,12/31/2006
Europe,5.738301887,12/31/2007
Europe,5.633207547,12/31/2008
Europe,5.42754717,12/31/2009
Europe,5.135471698,12/31/2010
Europe,5.2522,12/31/2011
Europe,5.633111111,12/31/2012
South-East Asia,0.012727273,12/31/2000
South-East Asia,0.010909091,12/31/2001
South-East Asia,0.011818182,12/31/2002
South-East Asia,0.010909091,12/31/2003
South-East Asia,0.008181818,12/31/2004
South-East Asia,0.007272727,12/31/2005
South-East Asia,0.010909091,12/31/2006
South-East Asia,0.008181818,12/31/2007
South-East Asia,0.007272727,12/31/2008
South-East Asia,0.005454545,12/31/2009
South-East Asia,0.004545455,12/31/2010
South-East Asia,0.004545455,12/31/2011
South-East Asia,0.00375,12/31/2012
Western Pacific,3.12,12/31/2000
Western Pacific,2.728846154,12/31/2001
Western Pacific,0.797692308,12/31/2002
Western Pacific,3.502692308,12/31/2003
Western Pacific,2.363461538,12/31/2004
Western Pacific,1.588846154,12/31/2005
Western Pacific,1.985,12/31/2006
Western Pacific,3.908846154,12/31/2007
Western Pacific,4.321538462,12/31/2008
Western Pacific,4.729615385,12/31/2009
Western Pacific,5.133461538,12/31/2010
Western Pacific,1.407727273,12/31/2011
Western Pacific,1.008,12/31/2012
